"words","term.freq","doc.freq"
"ina[in]prp",7535,2218
"ana[to]prp",7232,2109
"ša[of]det",5757,1936
"šarru[king]n",8095,1897
"ša[that]rel",3227,1601
"bēlu[lord]n",5924,1599
"ardu[slave]n",1654,1329
"lū[may]mod",2209,1291
"lā[not]mod",2158,1127
"libbu[interior]n",1767,1078
"muhhu[skull]n",1918,1027
"šulmu[completeness]n",1403,1020
"šapāru[send]v",1808,1001
"alāku[go]v",1799,910
"māru[son]n",2020,872
"mā[saying]prp",2373,850
"ūmu[day]n",1145,825
"u[and]cnj",1946,813
"tadānu[give]v",1120,742
"epēšu[do]v",968,716
"bītu[house]n",1332,686
"pānu[front]n",1216,681
"qabû[say]v",1077,675
"šību[witness]n",4144,611
"kī[like]prp",1116,575
"v[ištu]from",804,540
"šakānu[put]v",672,521
"mātu[land]n",705,501
"ṣarpu[silver]n",783,499
"dabābu[speak]v",861,496
"annû[this]dp",717,487
"manû[unit]n",857,446
"līmu[eponym-(of-year)]n",445,442
"nabu[1]dn",527,423
"târu[turn]v",547,390
"dīnu[legal-decision]n",696,382
"anāku[i]ip",502,372
"ṭēmu[(fore)thought]n",485,368
"kaspu[silver]n",526,365
"leqû[take]v",500,358
"rabû[big-one]n",534,356
"wabālu[bring]v",506,353
"adi[until]prp",491,348
"ṣābu[people]n",567,340
"mannu[who?]qp",367,339
"marduk[1]dn",363,331
"ēkallu[palace]n",443,320
"ūma[today]av",370,310
"v[išti]with",383,309
"šū[he]ip",420,307
"šumma[if]mod",434,306
"ālu[city]n",435,301
"nišu[people]n",421,298
"aššur[1]dn",362,297
"ṭupšarru[scribe]n",385,293
"kunukku[seal]n",389,289
"karābu[pray]v",307,286
"išti[with]prp",418,285
"umma[saying]prp",597,285
"erēbu[enter]v",370,282
"qātu[hand]n",342,276
"gammuru[finished]aj",280,273
"tadnu[given]aj",281,270
"amāru[see]v",335,263
"ilu[god]n",376,259
"mīnu[what?]qp",306,258
"gabbu[totality]n",334,256
"wadû[know]v",315,255
"ištu[from]prp",350,255
"annûri[now]av",292,253
"šemû[hear]v",321,240
"ṣabātu[seize]v",302,240
"ahu[brother]n",396,240
"zarpu[purchased]aj",246,240
"leqû[taken]aj",250,238
"adanniš[very-much]av",367,235
"dullu[trouble]n",374,235
"laššu[(there)-is-not]v",255,234
"eqlu[field]n",652,234
"šipru[sending]n",327,233
"aṣû[go-out]v",293,232
"gimru[totality]n",376,229
"šunu[they]ip",294,223
"šâlu[ask]v",276,220
"našû[lift]v",277,220
"ṭābu[good]aj",261,212
"meʾatu[(one)-hundred]nu",315,212
"urkiš[later]av",211,211
"šuāti[him]ip",213,209
"buʾʾû[look-for]v",212,208
"hurāṣu[gold]n",251,205
"pīhātu[responsibility]n",308,202
"sisû[horse]n",400,200
"matīma[ever]av",195,194
"šaknu[appointee]n",223,191
"maṣṣartu[observation]n",262,189
"bašû[exist]v",236,187
"imēru[unit]n",340,183
"ninua[nineveh]gn",201,181
"napištu[throat]n",207,176
"awīlu[man]n",260,176
"elû[go-up]v",211,174
"ištēn[one]nu",235,173
"ul[not]mod",346,170
"birtu[fort]n",220,169
"šattu[year]n",202,169
"sinništu[woman]n",249,165
"babili[babylon]gn",277,163
"ešriātu[tenfold]av",163,161
"ištar[1]dn",214,159
"šiqlu[unit]n",179,152
"bel[1]dn",200,151
"atā[why?]qp",173,147
"sahāru[go-around]v",188,146
"paqādu[entrust]v",177,146
"pû[mouth]n",180,142
"ša-qurbūti[close-follower]n",174,140
"dannu[strong]aj",161,139
"šanû[second]nu",157,137
"ša-rēši[eunuch]n",172,135
"itti[with]prp",194,135
"parāku[lie-across]v",133,133
"zaqāpu[fix-upright]v",135,132
"akālu[eat]v",159,130
"izuzzu[stand]v",169,130
"kiṣru[knot]n",190,130
"mahāru[face]v",162,127
"enna[now]av",158,127
"ammar[as-much-as]rel",149,123
"emūqu[strength]n",169,121
"burku[knee]n",124,121
"našû[lifted]aj",139,118
"issurri[perhaps]av",127,118
"ṭāhu[adjacent-to]prp",543,117
"kūm[instead-of]prp",124,116
"ṭuppu[tablet]n",131,115
"dibbu[words]n",149,114
"balāṭu[live]v",127,113
"abu[father]n",210,111
"naṣāru[guard]v",137,111
"arhu[month]n",128,110
"kīma[like]prp",123,109
"mādu[many]aj",119,108
"akī[as]prp",145,107
"šēpu[foot]n",132,106
"bīt[where]sbj",130,106
"kirû[garden]n",206,106
"āšibu[sitting]aj",107,105
"appatu[bridle]n",172,104
"rabû[to-be-big]v",105,104
"memēni[somebody]xp",125,100
"tašlīšu[third-man-on-chariot]n",146,100
"nadānu[give]v",175,100
"adû[now]av",129,100
"kurummatu[ration]n",141,98
"šamaš[1]dn",113,96
"etēqu[proceed]v",121,96
"egertu[inscribed-tablet]n",125,94
"damqu[good]aj",104,94
"arbail[arbela]gn",100,93
"ašābu[sit-(down)]v",107,92
"dâku[kill]v",112,91
"magāru[consent]v",100,91
"palāhu[fear]v",100,90
"qerēbu[approach]v",109,90
"nāru[river]n",112,87
"hūlu[way]n",134,86
"anīnu[we]ip",106,86
"nisannu[nisan]mn",93,86
"gargamis[carchemish]gn",86,86
"annaka[here]av",101,85
"šūtu[he]ip",100,85
"halāqu[be(come)-lost]v",110,85
"muk[saying]prp",138,85
"ramû[slacken]v",96,85
"dinānu[substitution]n",81,81
"mala[as-much-as]rel",96,80
"šaknu[placed]aj",98,80
"qaqqaru[ground]n",102,79
"sin[1]dn",92,77
"ṣupru[nail]n",157,77
"mārtu[daughter]n",107,76
"ayaru[iyyar]mn",82,76
"atta[you]ip",96,75
"šaṭāru[write]v",97,75
"biltu[load]n",101,75
"mukillu[holder]n",135,75
"arku[long]aj",76,74
"kalhu[1]gn",101,74
"kamsu[squatting]aj",83,73
"zēru[seed(s)]n",109,73
"rēšu[head]n",83,72
"līm[thousand]nu",113,72
"kašādu[reach]v",85,72
"nuk[saying]prp",118,71
"elamtu[elam]gn",110,71
"tamkāru[merchant]n",90,70
"rabû[big]aj",82,69
"alpu[ox]n",105,68
"šukkallu[(a-court-official)]n",115,68
"qaqqadu[head]n",73,68
"erû[copper]n",89,68
"dur-šarruken[1]gn",82,67
"ṭūbu[goodness]n",103,66
"pānātu[front]n",66,65
"namāšu[set-(o.s.)-in-motion]v",86,65
"immeru[sheep]n",102,65
"karāru[put-(down)]v",87,64
"qû[unit]n",86,64
"šalāmu[be(come)-healthy]v",80,63
"mahru[received]aj",70,63
"hazannu[mayor]n",68,63
"tartānu[second-in-command]n",70,63
"sakru[refined]aj",64,63
"dagālu[see]v",72,62
"tašritu[tishri]mn",65,62
"mâtu[die]v",72,61
"rēhtu[remainder]n",69,61
"qannu[fringe]n",68,60
"leʾû[be-able]v",63,60
"īnu[eye]n",71,59
"rabiu[big-one]n",76,59
"šumu[name]n",80,59
"birti[between]prp",78,58
"nabu-šumu-iddina[1]pn",59,58
"mû[water]n",66,57
"udīni[up-till-now]av",61,57
"ummu[mother]n",101,57
"ahu[arm]n",65,56
"mamman[somebody]xp",76,56
"urarṭaya[urarṭian]en",85,55
"šipirtu[message]n",84,55
"addaru[adar]mn",58,55
"mimma[anything]xp",69,55
"agâ[this]dp",77,55
"akī[as;-like]prp",65,55
"gušūru[tree-trunk]n",92,54
"ramānu[self]n",60,54
"ṣābitu[recipient]n",54,54
"matāhu[lift]v",69,53
"kittu[truth]n",58,53
"šušānu[horse-trainer]n",69,53
"arādu[go-down]v",68,53
"arhiš[quickly]av",59,52
"dāt[behind]prp",58,52
"ūla[or]av",54,51
"pahāru[gather]v",59,51
"mītu[dead]aj",56,51
"yâšim[to-me]ip",54,50
"šaplu[underside]n",59,50
"šī[she]ip",55,50
"šīru[flesh]n",50,50
"mammanu-[whosoever]xp",52,50
"mesû[washed]aj",50,50
"ammiu[that]dp",52,49
"maqātu[fall]v",62,49
"amtu[maid]n",56,48
"mullissu[1]dn",50,48
"simanu[sivan]mn",51,48
"mašennu[(an-administrator)]n",62,47
"adû[(treaty-)oath]n",70,47
"pūtu[forehead]n",59,47
"ištēniš[together]av",49,47
"šabaṭu[shebat]mn",51,47
"adru[threshing-floor]n",65,47
"nabuʾa[1]pn",51,47
"babilaya[babylonian]en",55,47
"kalû[hold-(back)]v",55,46
"sūtu[unit]n",49,46
"šanû[(an)other]aj",47,46
"nāgiru[herald]n",57,46
"abāku[lead-away]v",56,46
"rebû[fourth]nu",46,46
"rakāsu[bind]v",47,45
"nasāhu[tear-out]v",53,45
"petû[open]v",60,45
"pēthallu[riding-horse]n",69,45
"šangû[priest]n",61,45
"tebû[arise]v",54,45
"marduk-apla-iddina[merodach-baladan]pn",56,45
"šadû[mountain]n",51,44
"hubtu[robbery]n",62,44
"dūru[(city)-wall]n",57,44
"nergal[1]dn",48,44
"pānû[previous]aj",45,43
"šāqû[butler]n",47,43
"libbi-ali[inner-city-(assur)]gn",60,43
"ṭebetu[tebet]mn",46,43
"pūhu[exchange]n",44,43
"peṣû[white]aj",52,43
"šarru-emuranni[1]pn",45,42
"elulu[elul]mn",43,42
"atû[gatekeeper]n",54,42
"piqittu[allocation]n",47,41
"harrānu[way]n",48,41
"mannu-ki-arbail[1]pn",50,41
"arrapha[1]gn",54,40
"mugerru[chariot]n",49,40
"qabaltu[middle]n",48,40
"irtu[breast]n",47,40
"kânu[be(come)-permanent]v",49,40
"ṣullû[beseech]v",42,40
"nabu-šarru-uṣur[1]pn",43,40
"deru[der]gn",55,40
"kusāpu[bread]n",54,39
"attunu[you-(pl.)]ip",50,39
"ēkurru[temple]n",46,39
"ebēru[cross-over]v",49,39
"eleppu[ship]n",68,39
"qīpu[representative]n",49,39
"ūmussu[daily]av",45,39
"remanni-adad[1]pn",53,39
"zarpanitu[1]dn",47,39
"unqu[ring]n",53,38
"šinīšu[twice]av",39,38
"kūdanu[mule]n",67,38
"emēdu[lean-on]v",39,38
"marduk-šarru-uṣur[1]pn",43,38
"yānu[(there)-is-not]v",47,38
"nagû[region]n",49,37
"paṭāru[loosen]v",42,37
"maṣû[correspond]v",41,37
"sartu[falsehood]n",45,37
"aššu[because-(of)]sbj",47,37
"nakru[enemy]n",45,36
"rēʾû[shepherd]n",42,36
"šarrūtu[kingship]n",45,36
"kalû[totality]n",39,36
"kanunayu[1]pn",39,36
"epšu[made]aj",37,35
"gamāru[complete]v",44,35
"tahūmu[boundary]n",42,35
"lēʾu[board]n",53,35
"gamru[complete]aj",44,35
"kutallu[back]n",36,35
"erēšu[sow]v",53,35
"balasi[1]pn",36,35
"dārû[lasting]aj",41,35
"kīnu[permanent]aj",37,34
"harāṣu[break-off]v",41,34
"ahāmiš[one-another]prp",36,34
"sin-ahhe-eriba[sennacherib]pn",35,34
"eššu[new]aj",37,34
"urdu-issar[1]pn",42,34
"duʾuzu[tammuz]mn",35,34
"minde[perhaps]av",40,34
"ṭābtu[goodness]n",39,33
"šiāru[morning]n",36,33
"daltu[door]n",40,33
"abu[ab]mn",36,33
"šalmu[intact]aj",38,33
"nabu-eriba[1]pn",35,33
"akanna[here]av",36,33
"ṣillu[shade]n",36,32
"šaddaqda[last-year]av",32,32
"arbailayu[1]pn",36,32
"rēhu[remaining]aj",34,32
"ilku[state-service]n",35,32
"šumma-ilani[1]pn",45,32
"tibnu[straw]n",45,31
"šīti[she]ip",34,31
"pitti[just-as]av",33,31
"kē[how?]qp",36,31
"issar-duri[1]pn",34,31
"parāsu[cut-(off)]v",34,30
"batqu[cut-(off)]aj",36,30
"bābu[gate]n",40,30
"arahsamnu[marchesvan]mn",32,30
"ituʾaya[ituʾean]en",35,30
"nergal-šarru-uṣur[1]pn",33,30
"tašmetu[1]dn",37,30
"šamû[sky]n",35,30
"lapān[in-front-of]prp",35,30
"kiššatu[totality]n",40,30
"mar-yakin[1]pn",41,30
"šatû[drink]v",29,29
"hīṭu[error]n",37,29
"ṭab-šar-aššur[1]pn",29,29
"ṭab-ṣil-ešarra[1]pn",29,29
"haramma[later]av",29,29
"aššur-belu-taqqin[1]pn",34,29
"ikkaru[farmer]n",42,29
"kullu[hold]v",37,29
"ammatu[unit]n",96,29
"karānu[vine]n",38,29
"silim-aššur[1]pn",33,29
"ṣibtu[seizure]n",32,29
"uṭṭatu[grain]n",34,29
"enlil[1]dn",35,29
"ašāru[sink-down]v",35,29
"awātu[word]n",35,28
"kayyamānu[permanent]aj",32,28
"karru[put-down]aj",30,28
"madaktu[(military)-camp]n",43,28
"raṣāpu[build]v",38,28
"dayyālu[scout]n",35,28
"siparru[bronze]n",36,28
"kullumu[show]v",37,28
"ebūru[harvest]n",37,28
"mahāṣu[beat]v",31,28
"ubru-nabu[1]pn",33,28
"nabu-belu-kaʾʾin[1]pn",32,28
"haṭû[do-wrong]v",37,28
"barsip[borsippa]gn",36,27
"kussû[chair]n",32,27
"urû[team]n",39,27
"balṭu[living]aj",29,27
"šâṭu[despise]v",30,27
"aššur-reṣuwa[1]pn",29,27
"adad[1]dn",28,27
"imēru[donkey]n",36,27
"dadi[1]pn",28,27
"ululayu[1]pn",31,27
"šakintu[(a-female-official)]n",36,27
"arki[after]prp",29,27
"esaggil[1]tn",42,27
"minamma[why?]qp",29,27
"timāli[yesterday]av",26,26
"aplaya[1]pn",30,26
"madādu[measure-(out)]v",30,26
"halqu[lost]aj",31,26
"ṣabtu[seized]aj",30,26
"ayyaka[where?]qp",27,26
"kiṣir-aššur[1]pn",38,26
"parzillu[iron]n",35,26
"kaṣāru[tie]v",32,26
"bahianu[1]pn",28,26
"ṣalmu[effigy]n",43,26
"kalbu[dog]n",30,26
"nahāsu[(re)cede]v",33,26
"nabalkutu[cross-over]v",26,25
"mannu-ki-adad[1]pn",26,25
"ša-pēthalli[rider]n",31,25
"qurbu[near]aj",26,25
"battu[side]n",32,25
"redû[accompany]v",27,25
"nabu-šezib[1]pn",27,25
"ṣehru[small]aj",28,25
"issar-šumu-ereš[1]pn",25,25
"batāqu[cut-off]v",37,24
"dâlu[move]v",26,24
"ša-šēpi[(kingʾs)-personal-guard]n",41,24
"imittu[right-side]n",26,24
"manû[count]v",26,24
"ummiānu[scholar]n",27,24
"maddattu[payment]n",52,24
"dekû[raise]v",29,24
"zakkû[(official)-freed]n",25,24
"ša-pān-ēkalli[palace-supervisor]n",27,24
"harādu[be(come)-awake]v",28,24
"mišlu[half]nu",36,24
"nīqu[offering]n",28,24
"šadādu[drag]v",27,24
"eṣēdu[harvest]v",28,24
"nusāhu[(a-grain-tax)]n",30,24
"urdu-nabu[1]pn",27,24
"nikkassu[account(s)]n",30,24
"bel-iqiša[1]pn",29,24
"udī-[alone]av",24,23
"battubattu[all-round]prp",25,23
"ṣīru[envoy]n",36,23
"raksu[recruit]n",30,23
"habātu[rob]v",35,23
"mušarkisu[(military)-procurement-officer]n",33,23
"kallāpu[outrider]n",31,23
"nikkal[1]dn",30,23
"ašāru[muster]v",27,23
"kaldaya[chaldean]en",26,23
"arkû[rear]aj",28,23
"tillatu[vine]n",34,23
"ahāmiš[one-another]rp",27,23
"mādiš[greatly]av",25,23
"urarṭu[1]gn",28,22
"hurri[ever-(after)]av",22,22
"kallû[express-messenger]n",27,22
"ašipa[1]pn",22,22
"arzuhina[1]gn",35,22
"paqdu[entrusted]aj",23,22
"šumēlu[left-side]n",24,22
"parriṣu[criminal]n",30,22
"kapru[village]n",33,22
"abullu[(city)-gate]n",33,22
"mati[when?]qp",28,22
"labīru[old]aj",25,22
"ešarra[1]tn",25,22
"šamnu[oil]n",27,22
"uznu[ear]n",22,22
"šamaš-belu-uṣur[1]pn",22,22
"nuhatimmu[cook]n",23,22
"mahrû[first]aj",23,22
"ṣarrāpu[goldsmith]n",22,22
"inurta[1]dn",25,22
"dannutu[binding-document]n",22,22
"mannu-ki-ninua[1]pn",23,22
"banû[good]aj",24,22
"il-yadaʾ[1]pn",28,22
"nippur[1]gn",47,22
"ninurta[1]dn",24,22
"harranu[harran]gn",22,21
"zabālu[carry]v",25,21
"nahallu[stream]n",37,21
"danānu[be(come)-strong]v",24,21
"kakkullanu[1]pn",39,21
"sin-naʾdi[1]pn",23,21
"bennu[epilepsy]n",21,21
"ha-bašti[1]pn",21,21
"hamṭiš[quickly]av",24,21
"aqar-bel-lumur[1]pn",22,21
"aššur-šarru-uṣur[1]pn",20,20
"basi[soon]av",24,20
"palhu[fearful]aj",25,20
"salāmu[be(come)-at-peace]v",24,20
"ammaka[there]av",20,20
"iškāru[work-assignment]n",34,20
"aladlammû[human-headed-bull-colossus]n",46,20
"šulmu-beli[1]pn",21,20
"šarru-lu-dari[1]pn",26,20
"libittu[mudbrick]n",34,20
"qallu[light]aj",23,20
"appāru[reed-bed]n",23,20
"šiddu[length]n",20,20
"gammalu[camel]n",25,20
"akanni[now]av",20,20
"sippar[1]gn",23,20
"nukaribbu[gardener]n",23,20
"šībūtu[old-age]n",20,20
"gabarû[copy]n",23,20
"aššur-ilaʾi[1]pn",21,20
"qablu[hips]n",21,20
"malû[be(come)-full]v",21,20
"ezēbu[leave]v",24,20
"unūtu[tools]n",22,20
"zaruti[1]pn",23,20
"bel-ibni[1]pn",26,20
"nabu-šumu-iškun[1]pn",24,20
"šapartu[pledge]n",21,20
"bit-dakkuri[1]gn",27,20
"nadû[throw-down]v",21,20
"balassu[1]pn",23,19
"bel-duri[1]pn",29,19
"nabu-duru-uṣur[1]pn",19,19
"zakû[pure]aj",24,19
"sartennu[chief-judge]n",24,19
"mūšu[night]n",22,19
"aššuraya[assyrian]en",22,19
"naʾdi-ilu[1]pn",22,19
"tarṣu[extent]n",21,19
"littūtu[(extreme)-old-age]n",19,19
"rūṭu[unit]n",30,19
"issahîš[together]av",19,19
"nasīku[sheikh]n",22,19
"sukkaya[1]pn",22,19
"mazrūtu[(area-or-state-of)-cultivation]n",20,19
"barruqu[1]pn",20,19
"gimirtu[totality]n",22,19
"ahu-duri[1]pn",20,19
"ēribu[enterer]n",21,19
"kusaya[kushite]en",52,19
"akalu[bread]n",34,19
"nusku[1]dn",19,19
"mat-aššur[assyria]gn",31,19
"erēšu[request]v",19,18
"šalšūmi[the-day-before-yesterday]av",18,18
"lawû[surround]v",18,18
"nērebu[entrance]n",20,18
"tabāku[pour-(out)]v",22,18
"šalāšī-[three-times]av",18,18
"uṣṣuṣu[interrogate]v",20,18
"ukkaya[ukkean]en",28,18
"māšartu[inspection]n",19,18
"šaṭru[written]aj",21,18
"igāru[wall]n",29,18
"maqtu[fallen]aj",23,18
"rupšu[width]n",33,18
"qinnu[nest]n",22,18
"galû[be(come)-deported]v",25,18
"būrtu[cistern]n",24,18
"šasû[shout]v",22,18
"nabu-zeru-iddina[1]pn",21,18
"kislimu[kislev]mn",19,18
"gabdi[adjoining-to]prp",96,18
"šarru-ken[sargon-ii]pn",27,18
"nabu-ahu-iddina[1]pn",20,18
"uruk[1]gn",21,18
"šandabakku[governor-of-nippur]n",19,18
"arpadda[arpad]gn",19,17
"ša-muhhi-āli[town-overseer]n",18,17
"marṣu[sick]aj",20,17
"kanāku[seal]v",18,17
"yamattu[each]xp",18,17
"yābilu[ram]n",19,17
"isītu[tower]n",25,17
"iṣu[tree]n",24,17
"bubūtu[hunger]n",23,17
"nagāru[joiner]n",21,17
"zakû[be(come)-clear]v",23,17
"barhalza[1]gn",19,17
"inurta-ilaʾi[1]pn",19,17
"šamaš-ilaʾi[1]pn",18,17
"tabku[(grain)-store]n",25,17
"hepû[break]v",18,17
"bel-iddina[1]pn",19,17
"ninuayu[1]pn",22,17
"harbakkannu[(a-kind-of-horse)]n",17,17
"bārû[diviner]n",18,17
"išparu[weaver]n",20,17
"nabu-naʾid[1]pn",17,17
"babilayu[1]pn",20,17
"šulmu-šarri[1]pn",19,17
"nabu-balassu-iqbi[1]pn",18,17
"sin-šarru-uṣur[1]pn",21,17
"nabu-šumu-lešir[1]pn",21,17
"ṣalam-šarri-iqbi[1]pn",18,17
"nīru[yoke]n",28,17
"ašbu[inhabited]aj",20,17
"ean",24,17
"kabāsu[tread]v",19,16
"pilku[demarcated-zone]n",31,16
"tūra[again]av",16,16
"madbaru[steppe]n",21,16
"dīku[killed]aj",23,16
"ariye[1]pn",18,16
"riksu[binding]n",16,16
"harāpu[be(come)-early]v",20,16
"nakāsu[cut]v",20,16
"rapšu[wide]aj",19,16
"guzana[1]gn",22,16
"qarāru[writhe]v",18,16
"aṣappu[pack-animal]n",21,16
"šulmu-beli-lašme[1]pn",16,16
"ṭurušpa[1]gn",20,16
"nabu-remanni[1]pn",16,16
"nabu-ahu-uṣur[1]pn",20,16
"bel-emuranni[1]pn",18,16
"zarāpu[purchase]v",16,16
"inurti[1]pn",19,16
"nabu-ahhe-eriba[1]pn",18,16
"asû[physician]n",16,16
"sasi[1]pn",27,16
"nabu-ušallim[1]pn",21,16
"armaya[aramean]en",16,16
"karaphu[fallow-land]n",18,16
